Id,Predicted
16,'70'
17,'94'
18,'56'
19,''
20,'80639'
21,'124580'
22,'5658'
23,'578690'
24,'457809868'
25,'087980'
26,'8'
27,'0'
28,''
29,''
30,'9'
31,'8'
32,''
33,'7'
34,''
35,''
36,'7'
37,'6'
38,'7'
39,'45871#956784'
40,'1259760*#'
41,'*0#*0*541'
42,'856479691*0#74'
43,'587412#0*965'
44,'85258*7#941'
45,'54789214*03#'
46,'1247C8*#085476'
47,'854796#*#821*0'
48,'254784*0585'
49,'8*15#580*74'
50,'5409514*'
51,'5478521549#*08'
52,'25478'
53,'#089895*7*0*'
54,'*#893'
55,'0912'
56,'*2'
57,'*0'
58,'68'
59,'982'
60,'12486907'
61,''
62,'0436'
63,'074*50569147*7'
64,'853874123'
65,'48685982190*8'
66,'3586937*'
67,''
68,'C2569C757C4C6359#C'
69,''
70,'4'
71,'58631864785'
72,'AD'
73,'7326467524'
74,''
75,'*12515269*84136'
76,'585456#057*7'
77,'*7'
